TRIP_ID,PREDICTED_DURATION
T1,682.5209979466968
T2,703.360072669989
T3,739.165950958266
T4,746.1011578298571
T5,5482.51583892083
T6,595.3836344060878
T7,727.4131863385633
T8,765.6792003687228
T9,804.5143844432487
T10,650.1331589078678
T11,839.9750388029156
T12,404.5114990646466
T13,-70.61958540891601
T14,837.2969798476665
T15,867.8672823164438
T16,1186.4485307568712
T17,509.99656278164593
T18,586.9241605427064
T19,569.9054185342197
T20,768.0775383569667
T21,1313.796113861485
T22,767.1577977074853
T23,442.5651616586133
T24,3401.197077095269
T25,590.4447107812261
T26,286.5104857078227
T27,-29.63567536396249
T28,-673.8708179266027
T29,797.599717523183
T30,724.562524500559
T31,732.3299705472859
T32,608.6192826439906
T33,526.4202240954146
T35,506.4852490364026
T36,962.9881571083145
T37,862.8687927040374
T38,350.3285748260714
T39,780.1290585768807
T40,1150.0943951578743
T41,716.7482692908943
T42,254.50998738523822
T43,571.7965561376843
T44,736.0691696410865
T45,703.2791834586683
T46,682.196625500263
T47,817.1487125180017
T48,626.6362505118227
T49,814.6811391429671
T50,554.5817487965417
T52,643.9218488343945
T53,690.2993731464389
T54,630.8535230988603
T55,545.6703267926323
T56,644.2453313072742
T57,723.7333225753205
T58,648.5980222768585
T59,717.9704241268405
T60,743.3701762841783
T61,378.8513483634438
T62,317.7959050942086
T63,421.6893238097646
T64,741.962779275812
T65,781.2928654214543
T66,736.8712382275502
T67,489.9216364273111
T68,263.47419336608937
T69,610.6142600941453
T71,771.4419506385402
T72,585.6620392179211
T73,284.72154085138436
T74,950.4255324902442
T75,784.0665624402288
T76,325.9266567000891
T77,-1525.4736005424124
T78,698.2654093070164
T79,637.3767281351634
T80,809.1555203649518
T81,488.2489010797485
T82,857.0873667970668
T83,1073.5015809863467
T84,700.3371597367621
T85,570.3941669104679
T86,701.5315499379325
T87,314.6692161105252
T88,588.8066438179244
T90,780.5751923610678
T91,686.5807967917948
T92,957.1374586981009
T93,950.2760779935243
T94,639.7935850345173
T96,1444.9641646731661
T98,652.3658710612876
T99,780.8112464961686
T100,1024.3333421434495
T101,465.4741625960487
T102,718.0557234746175
T103,511.38684150645304
T104,755.4003296814749
T107,825.7751297509789
T109,513.2357897325578
T110,165.89856451374862
T111,638.9058876771492
T112,576.9228381171265
T113,851.511370445935
T114,400.90611759108333
T115,719.9088004438173
T116,230.76131592562012
T117,688.868860458388
T118,723.9855063200744
T119,424.42749466329496
T120,625.1310725169643
T121,531.2615456995495
T122,676.4997400423708
T123,1210.4454717973258
T124,793.6147328525124
T125,535.5278664977418
T126,682.8754136028392
